# CurlyM omega_m logL logPrior
-2.066498275974661070e+00 1.219230992633211219e+00 -3.674909300400365737e+02 0.000000000000000000e+00
-2.026226609023416447e+00 1.371087327603686568e+00 -3.666249325511689676e+02 0.000000000000000000e+00
-2.026967787517015562e+00 1.369068718789072214e+00 -3.664511905704243304e+02 0.000000000000000000e+00
-2.012892969640336371e+00 1.427484989642146207e+00 -3.656457922691628255e+02 0.000000000000000000e+00
-2.544932278097358669e+00 1.433645195780449133e-01 -3.655475958255862565e+02 0.000000000000000000e+00
-2.072254727004203989e+00 1.219590844178285005e+00 -3.627211407796963840e+02 0.000000000000000000e+00
-2.309364587737356089e+00 5.544764147452975189e-01 -3.623551450462437629e+02 0.000000000000000000e+00
-2.041048382453719334e+00 1.342759677704012500e+00 -3.606501431800871273e+02 0.000000000000000000e+00
-3.476196630336120030e+00 1.883581316537054740e+00 -3.597930802974771041e+02 0.000000000000000000e+00
-2.013647485845422747e+00 1.457000222858325422e+00 -3.590115040116624527e+02 0.000000000000000000e+00
-2.640872298271421670e+00 4.253690857522726687e-02 -3.572609361729261650e+02 0.000000000000000000e+00
-2.060589427244102101e+00 1.288937254645653230e+00 -3.565721416602487466e+02 0.000000000000000000e+00
-3.455486367194257724e+00 1.954149763281140428e+00 -3.564615344189487018e+02 0.000000000000000000e+00
-2.285528488111124190e+00 6.269097293430615503e-01 -3.557959984036768901e+02 0.000000000000000000e+00
-2.162396487527563416e+00 9.667118459752263027e-01 -3.523952277159697815e+02 0.000000000000000000e+00
-3.495122264100487097e+00 1.763747208388473542e+00 -3.519060445459589914e+02 0.000000000000000000e+00
-2.398390046184144531e+00 4.058724818464476414e-01 -3.498881199785877243e+02 0.000000000000000000e+00
-2.227625027726416462e+00 7.946110223962280505e-01 -3.485752750587212745e+02 0.000000000000000000e+00
-2.475776435580871571e+00 2.762200093353616159e-01 -3.479690563334784770e+02 0.000000000000000000e+00
-3.474802802867925422e+00 1.817764179489030463e+00 -3.462356486021304818e+02 0.000000000000000000e+00
-2.581197569044200613e+00 1.303104402185844002e-01 -3.455728927823759591e+02 0.000000000000000000e+00
-2.380319616251628023e+00 4.518930830062403148e-01 -3.453005106756917257e+02 0.000000000000000000e+00
-2.266474172355437133e+00 7.084529800734379323e-01 -3.441909403437688866e+02 0.000000000000000000e+00
-2.322497013816049449e+00 5.770674607448386118e-01 -3.438527287037973110e+02 0.000000000000000000e+00
-2.287355161756470245e+00 6.596351592220170978e-01 -3.434384753965641721e+02 0.000000000000000000e+00
-3.451876705264826040e+00 1.896684508318590812e+00 -3.430363409469183011e+02 0.000000000000000000e+00
-2.040468364069459639e+00 1.433842205270209114e+00 -3.423396706943543677e+02 0.000000000000000000e+00
-2.630838991903979185e+00 7.841255964339348405e-02 -3.406355975718433342e+02 0.000000000000000000e+00
-3.481860926097423814e+00 1.758615054451664550e+00 -3.405133770711700549e+02 0.000000000000000000e+00
-2.588438248568428968e+00 1.318124425896050056e-01 -3.392883095213178990e+02 0.000000000000000000e+00
-2.039179890985348464e+00 1.454776320332264117e+00 -3.392301584789538538e+02 0.000000000000000000e+00
-2.077496863171825137e+00 1.307848404666454023e+00 -3.391247587096211191e+02 0.000000000000000000e+00
-2.020176126417468687e+00 1.542853530008569951e+00 -3.372258208446049252e+02 0.000000000000000000e+00
-2.187673453253296429e+00 9.539443587075374653e-01 -3.358346083077615276e+02 0.000000000000000000e+00
-2.311737010663992287e+00 6.332604268410357840e-01 -3.331568780658459445e+02 0.000000000000000000e+00
-3.459554504185599288e+00 1.810755499065991980e+00 -3.331010987313711098e+02 0.000000000000000000e+00
-2.567205968550333228e+00 1.770135571201146840e-01 -3.296521892159498748e+02 0.000000000000000000e+00
-2.308867548962343808e+00 6.520606559359956034e-01 -3.292618422179234017e+02 0.000000000000000000e+00
-2.021824376490738207e+00 1.580185377695785487e+00 -3.291225537038692437e+02 0.000000000000000000e+00
-3.480009668865983397e+00 1.703342394151568628e+00 -3.285608086054512000e+02 0.000000000000000000e+00
-2.112519106139993497e+00 1.240192124096549442e+00 -3.264431975588447585e+02 0.000000000000000000e+00
-2.038049914771706383e+00 1.527551722502894727e+00 -3.263202846958106420e+02 0.000000000000000000e+00
-2.485305262019278594e+00 3.077581673890612546e-01 -3.260862200984181527e+02 0.000000000000000000e+00
-2.014491911405707825e+00 1.629091708983178011e+00 -3.260295140827842033e+02 0.000000000000000000e+00
-2.468544556811535173e+00 3.448226985501345876e-01 -3.222878237982106384e+02 0.000000000000000000e+00
-2.338376500803508673e+00 6.085261679114140065e-01 -3.210337581487981424e+02 0.000000000000000000e+00
-2.134238208433480999e+00 1.189788270588398422e+00 -3.208131209936776713e+02 0.000000000000000000e+00
-3.477317944455796894e+00 1.670554215897812611e+00 -3.202994552800892620e+02 0.000000000000000000e+00
-3.497617123096612879e+00 1.586352185679354099e+00 -3.193968549513592734e+02 0.000000000000000000e+00
-2.087209674542461091e+00 1.369956481218451039e+00 -3.190415419868207323e+02 0.000000000000000000e+00
-2.628448904740066538e+00 1.175275087536641339e-01 -3.185428132671403887e+02 0.000000000000000000e+00
-2.131698797175066495e+00 1.212071037951661934e+00 -3.179179138933990885e+02 0.000000000000000000e+00
-2.365961034181119249e+00 5.566884937533025379e-01 -3.177534182090540185e+02 0.000000000000000000e+00
-2.210073397470527112e+00 9.607448417416875053e-01 -3.169984845608084925e+02 0.000000000000000000e+00
-2.161295470641466210e+00 1.117581613262941032e+00 -3.164321452345602665e+02 0.000000000000000000e+00
-2.056575271203504585e+00 1.516094582783855227e+00 -3.144542400739138657e+02 0.000000000000000000e+00
-2.365394530950411855e+00 5.701919187252213472e-01 -3.136063107593484460e+02 0.000000000000000000e+00
-2.608317077896444847e+00 1.519856890518329617e-01 -3.135115937677650209e+02 0.000000000000000000e+00
-2.274423699344493510e+00 7.961535076409180789e-01 -3.122276323612281885e+02 0.000000000000000000e+00
-2.565316892519137415e+00 2.155213942440833419e-01 -3.112091270826286404e+02 0.000000000000000000e+00
-2.072713856963035894e+00 1.469943055630671180e+00 -3.108721182820149807e+02 0.000000000000000000e+00
-2.329400062863177912e+00 6.667836122946633193e-01 -3.092566832176420348e+02 0.000000000000000000e+00
-2.734361401133457825e+00 1.727552689786548967e-02 -3.081094556712176882e+02 0.000000000000000000e+00
-2.206147111011920181e+00 1.009661515042006519e+00 -3.080118798603600681e+02 0.000000000000000000e+00
-2.020602129180027795e+00 1.715847860927873558e+00 -3.068694189985211551e+02 0.000000000000000000e+00
-2.005836183398717054e+00 1.784264224880029559e+00 -3.067679651361013953e+02 0.000000000000000000e+00
-2.226254491444559225e+00 9.547327648953476409e-01 -3.064515842202562226e+02 0.000000000000000000e+00
-2.387939064905230779e+00 5.445580564997554163e-01 -3.056986361349730714e+02 0.000000000000000000e+00
-2.694213052230179262e+00 6.493582742374069683e-02 -3.042845283340442393e+02 0.000000000000000000e+00
-2.671388903944124760e+00 9.069648599389279475e-02 -3.042761923921281664e+02 0.000000000000000000e+00
-2.074761846127162634e+00 1.498259594213109835e+00 -3.042338547281925685e+02 0.000000000000000000e+00
-2.049339039958882669e+00 1.605653076781576427e+00 -3.041151490224830241e+02 0.000000000000000000e+00
-2.273016351399092638e+00 8.366193154820605882e-01 -3.022886800352976593e+02 0.000000000000000000e+00
-2.600057558984790518e+00 1.852479747443727398e-01 -3.018692483273649145e+02 0.000000000000000000e+00
-2.546585451165764180e+00 2.647712713367504911e-01 -3.011833643663063640e+02 0.000000000000000000e+00
-2.195707105458497566e+00 1.073525144624161376e+00 -3.009020547584709675e+02 0.000000000000000000e+00
-3.439909267227168499e+00 1.714399925470081687e+00 -3.008213691886460310e+02 0.000000000000000000e+00
-2.074521420548626871e+00 1.520230819376013454e+00 -3.005182821255757517e+02 0.000000000000000000e+00
-2.067698911329900469e+00 1.551300775197591353e+00 -3.000594312095673786e+02 0.000000000000000000e+00
-2.450756751635687181e+00 4.378427538730729207e-01 -2.982266616886495285e+02 0.000000000000000000e+00
-3.486374999737077207e+00 1.518517788512944833e+00 -2.980453525042927936e+02 0.000000000000000000e+00
-2.721100185123395132e+00 4.784349383321666316e-02 -2.968891336874085027e+02 0.000000000000000000e+00
-3.434966493893564454e+00 1.712331120799371220e+00 -2.968861295603329609e+02 0.000000000000000000e+00
-2.096139050211615729e+00 1.452937584412962391e+00 -2.968415186449752809e+02 0.000000000000000000e+00
-2.106981744217361285e+00 1.415162449319284477e+00 -2.958927607909830613e+02 0.000000000000000000e+00
-2.317689586125184054e+00 7.434990021460775589e-01 -2.953103306904163787e+02 0.000000000000000000e+00
-3.486889678687942418e+00 1.494799995200351894e+00 -2.938855880536080463e+02 0.000000000000000000e+00
-2.197474162343234116e+00 1.099602231197580382e+00 -2.938385498908552336e+02 0.000000000000000000e+00
-2.496221010268683038e+00 3.667050970765970419e-01 -2.933553978769536457e+02 0.000000000000000000e+00
-2.085604217277829964e+00 1.517285552988529851e+00 -2.930468350399033852e+02 0.000000000000000000e+00
-3.443776347583598074e+00 1.653992612589056943e+00 -2.926746039824122931e+02 0.000000000000000000e+00
-2.101671426937045339e+00 1.454583913191399569e+00 -2.925728543244458706e+02 0.000000000000000000e+00
-2.504085948012549245e+00 3.551547944562878367e-01 -2.924565021600054706e+02 0.000000000000000000e+00
-2.497031833541670132e+00 3.682590495887502202e-01 -2.921739814770587600e+02 0.000000000000000000e+00
-3.378487286881169727e+00 1.911645782018858597e+00 -2.911639690764640704e+02 0.000000000000000000e+00
-2.176804162383739083e+00 1.194360382967796674e+00 -2.886089427640917506e+02 0.000000000000000000e+00
-2.131614639931981969e+00 1.366137945934402520e+00 -2.873233894036459333e+02 0.000000000000000000e+00
-3.399170044203626784e+00 1.802190826620833741e+00 -2.872096500554765726e+02 0.000000000000000000e+00
-2.216590484415124518e+00 1.071451866418349219e+00 -2.863532702555647234e+02 0.000000000000000000e+00
-2.733556878361582676e+00 5.268213993079825380e-02 -2.856946170711118498e+02 0.000000000000000000e+00
-2.659357029121462546e+00 1.402180672967038577e-01 -2.847942314623854827e+02 0.000000000000000000e+00
-2.402563839555317493e+00 5.793921640261161521e-01 -2.839156089462802015e+02 0.000000000000000000e+00
-2.076755173457196513e+00 1.609895688558145466e+00 -2.838043528016524988e+02 0.000000000000000000e+00
-2.067126659498072172e+00 1.654033574571795562e+00 -2.834707555041214846e+02 0.000000000000000000e+00
-2.055776200081165683e+00 1.711811944859012780e+00 -2.823720198721644579e+02 0.000000000000000000e+00
-3.485267126239870894e+00 1.436409537058267682e+00 -2.816123252744738465e+02 0.000000000000000000e+00
-2.439491647278025255e+00 5.091965016406879707e-01 -2.810390125373972410e+02 0.000000000000000000e+00
-2.053036552723510155e+00 1.734689722486017160e+00 -2.807821047637960987e+02 0.000000000000000000e+00
-2.276930855039454027e+00 9.135533727431269790e-01 -2.800933152487109510e+02 0.000000000000000000e+00
-3.491886160290983199e+00 1.403165341163624902e+00 -2.798934341246084045e+02 0.000000000000000000e+00
-2.437768122481347888e+00 5.165485864255660031e-01 -2.797842379311629770e+02 0.000000000000000000e+00
-2.063684410096354505e+00 1.693230602737874513e+00 -2.797375219473739776e+02 0.000000000000000000e+00
-2.068942751826575055e+00 1.673574255580924763e+00 -2.791381053875124394e+02 0.000000000000000000e+00
-2.032520791623740664e+00 1.843128600712854448e+00 -2.789619168040412092e+02 0.000000000000000000e+00
-2.253221666258867995e+00 9.892541721807037725e-01 -2.789531372164496474e+02 0.000000000000000000e+00
-2.200610332369892230e+00 1.164371575949597837e+00 -2.779673920001791885e+02 0.000000000000000000e+00
-2.533603048046103812e+00 3.413381426155130960e-01 -2.776911537778029810e+02 0.000000000000000000e+00
-2.108924338484098548e+00 1.511193867506618993e+00 -2.776682258141729562e+02 0.000000000000000000e+00
-3.370449503014467219e+00 1.860870925177463775e+00 -2.771258594082339641e+02 0.000000000000000000e+00
-2.158818164379693982e+00 1.319175040808414412e+00 -2.769510754678898365e+02 0.000000000000000000e+00
-2.570282434885229783e+00 2.831213151527959271e-01 -2.768775984742854916e+02 0.000000000000000000e+00
-2.379212875565849927e+00 6.598870867417648833e-01 -2.758347789482647272e+02 0.000000000000000000e+00
-3.417459048405824706e+00 1.662589523107799616e+00 -2.757711494932430583e+02 0.000000000000000000e+00
-2.730491151206978273e+00 7.483440843893832128e-02 -2.745081245366636153e+02 0.000000000000000000e+00
-2.070894095653059708e+00 1.699279564843118262e+00 -2.738443693464445801e+02 0.000000000000000000e+00
-2.370981277017900180e+00 6.872542998476310894e-01 -2.736925064112976997e+02 0.000000000000000000e+00
-2.118231832386392899e+00 1.500632693141020324e+00 -2.730197185989893569e+02 0.000000000000000000e+00
-2.389626359661418675e+00 6.534260845994469546e-01 -2.705733148242898096e+02 0.000000000000000000e+00
-2.233786094424131008e+00 1.090426194127360748e+00 -2.703135674586346795e+02 0.000000000000000000e+00
-2.235954550791376505e+00 1.094298473048966880e+00 -2.680253565135607232e+02 0.000000000000000000e+00
-2.245234060040290469e+00 1.069165303703963676e+00 -2.669656482866894862e+02 0.000000000000000000e+00
-2.147607955149092085e+00 1.425921070669984747e+00 -2.656307872258271345e+02 0.000000000000000000e+00
-3.412447137778373829e+00 1.623128333789674915e+00 -2.654974614113282314e+02 0.000000000000000000e+00
-2.637713050910644341e+00 2.089257212909805261e-01 -2.652849443552184994e+02 0.000000000000000000e+00
-2.178407411640825408e+00 1.309963174639748207e+00 -2.652256600607267387e+02 0.000000000000000000e+00
-2.321722892010044781e+00 8.490251273250057906e-01 -2.649238967276912717e+02 0.000000000000000000e+00
-2.162748663975790908e+00 1.374379714525062912e+00 -2.643166013595972004e+02 0.000000000000000000e+00
-3.319670753199731816e+00 1.993720193261857121e+00 -2.640440992595027865e+02 0.000000000000000000e+00
-2.471383415675666662e+00 4.972701175470745083e-01 -2.633952179033871630e+02 0.000000000000000000e+00
-2.556872511773852885e+00 3.408644954377716418e-01 -2.624425010194482866e+02 0.000000000000000000e+00
-2.744485666038105620e+00 8.219464027857117938e-02 -2.615978301800706731e+02 0.000000000000000000e+00
-2.053866633773445471e+00 1.867506486044405722e+00 -2.611154506618675555e+02 0.000000000000000000e+00
