# CurlyM omega_m logL logPrior
-2.367840809966705429e+00 1.818937382572064276e+00 -1.069442147220099173e+02 0.000000000000000000e+00
-2.845621414367818680e+00 1.650623861121699454e+00 -4.969748264680070093e+01 0.000000000000000000e+00
-2.136329064795107868e+00 7.200579204910815267e-01 -4.507603484466264376e+02 0.000000000000000000e+00
-2.333153903032894050e+00 6.738244242243494053e-01 -3.043673231203271143e+02 0.000000000000000000e+00
-2.977911866672591223e+00 1.741101147560718987e+00 -7.785326046011167023e+01 0.000000000000000000e+00
-2.602038865484901820e+00 1.374661846196819859e+00 -6.711034904627805986e+01 0.000000000000000000e+00
-3.465968240248568755e+00 1.623739681154261483e+00 -3.031035264992666498e+02 0.000000000000000000e+00
-3.073620395131174021e+00 1.502967915973701274e+00 -8.602058008716969084e+01 0.000000000000000000e+00
-2.394749180756861939e+00 2.505374212077030593e-01 -4.275907264805643990e+02 0.000000000000000000e+00
-3.081353643487651617e+00 1.549873506037318105e+00 -9.237319140955116836e+01 0.000000000000000000e+00
-2.129881628250404724e+00 1.580182534454908527e+00 -2.525099466707417832e+02 0.000000000000000000e+00
-2.614697246269354292e+00 2.085145704225657148e-01 -2.805368130411559946e+02 0.000000000000000000e+00
-2.581058181273650831e+00 2.784287214928999887e-01 -2.717008661952091870e+02 0.000000000000000000e+00
-3.385604574858145366e+00 1.704533786326133393e-01 -7.235625242130856805e+01 0.000000000000000000e+00
-2.808371434768779817e+00 1.168592734907836217e+00 -4.437820561796581131e+01 0.000000000000000000e+00
-2.788201506244642580e+00 1.953207495389642778e+00 -5.424265034439718391e+01 0.000000000000000000e+00
-2.202311250389203057e+00 1.156835420458922181e+00 -2.783192230190083478e+02 0.000000000000000000e+00
-2.304646694229913528e+00 1.842797492799313375e+00 -1.292427967952897916e+02 0.000000000000000000e+00
-2.198628643059183929e+00 9.116945251109218606e-01 -3.384325616270672867e+02 0.000000000000000000e+00
-3.475173686810319129e+00 1.122026662467941582e+00 -2.165314124455780984e+02 0.000000000000000000e+00
-2.226937265825387868e+00 1.337005651373965875e+00 -2.291421434071670546e+02 0.000000000000000000e+00
-3.231532834017364575e+00 1.525343977803395035e+00 -1.481479587124158570e+02 0.000000000000000000e+00
-2.559171927035295724e+00 1.391756447030699784e+00 -7.652650153766134622e+01 0.000000000000000000e+00
-3.070998619956464726e+00 1.283017570860741197e+00 -6.849979823345688601e+01 0.000000000000000000e+00
-2.553829853027683505e+00 1.116910876976903833e+00 -1.008962505693146170e+02 0.000000000000000000e+00
