# CurlyM omega_m logL logPrior
-2.757553111328718831e+00 1.673699675718854030e+00 -4.529954171218799530e+01 0.000000000000000000e+00
-2.804487677381679145e+00 1.139978463201529957e+00 -4.528743300260691029e+01 0.000000000000000000e+00
-2.906584162175381181e+00 8.547453812159699904e-01 -4.528653949516272093e+01 0.000000000000000000e+00
-2.790014487022160594e+00 1.193628048416968568e+00 -4.528450324910230762e+01 0.000000000000000000e+00
-2.859232264051638328e+00 1.457668251252455027e+00 -4.525689079536930848e+01 0.000000000000000000e+00
-3.023576866290325516e+00 6.705328805310641904e-01 -4.523647623674748530e+01 0.000000000000000000e+00
-2.928574031817880563e+00 1.259519955184605022e+00 -4.523154077510258020e+01 0.000000000000000000e+00
-2.869086847999238632e+00 1.429042932603766136e+00 -4.520570641528868094e+01 0.000000000000000000e+00
-2.978347865185263732e+00 1.103435318691077915e+00 -4.520263161603674718e+01 0.000000000000000000e+00
-3.069534742341519351e+00 7.393324932816582873e-01 -4.520201268804041916e+01 0.000000000000000000e+00
-2.815271791483711539e+00 1.106795428282811189e+00 -4.518877388534672690e+01 0.000000000000000000e+00
-3.033795744952466400e+00 6.649338147811055810e-01 -4.518853025622495778e+01 0.000000000000000000e+00
-2.729421457004280072e+00 1.648929887671544137e+00 -4.518687515805299171e+01 0.000000000000000000e+00
-2.807644068310779506e+00 1.580356900526370456e+00 -4.518185607671276927e+01 0.000000000000000000e+00
-2.986021042993142416e+00 7.153335281962331926e-01 -4.517597402584252819e+01 0.000000000000000000e+00
-3.059611152768736186e+00 6.642738878461278418e-01 -4.516858107240161502e+01 0.000000000000000000e+00
-3.069385086489461845e+00 7.325156148371845255e-01 -4.516123731458261403e+01 0.000000000000000000e+00
-3.068349375139364010e+00 7.421074270110302740e-01 -4.515658895393811889e+01 0.000000000000000000e+00
-3.054925304749402937e+00 6.625766618760665638e-01 -4.515073531010775554e+01 0.000000000000000000e+00
-2.932510375730839502e+00 8.054160519410895613e-01 -4.514658526271670524e+01 0.000000000000000000e+00
-2.736235869046814262e+00 1.660368362608156456e+00 -4.514131213867580783e+01 0.000000000000000000e+00
-3.043060840485945384e+00 8.713450231282432457e-01 -4.513129819030876178e+01 0.000000000000000000e+00
-2.913772789928485984e+00 8.440614499588260378e-01 -4.512673829457045116e+01 0.000000000000000000e+00
-2.788075072765034079e+00 1.209897655944676798e+00 -4.510520217489040107e+01 0.000000000000000000e+00
-2.851102781055327107e+00 9.994698060455177169e-01 -4.509795895700654711e+01 0.000000000000000000e+00
-2.788390270687643557e+00 1.614352847319509010e+00 -4.509604864036845839e+01 0.000000000000000000e+00
-2.866904823214406317e+00 9.563777846949086392e-01 -4.509352432230560481e+01 0.000000000000000000e+00
-2.986039384671618002e+00 7.179789439878054846e-01 -4.509276229741453079e+01 0.000000000000000000e+00
-3.056916676540265776e+00 8.056568773994705612e-01 -4.507933757537545461e+01 0.000000000000000000e+00
-3.030325996803828303e+00 6.726386228899500219e-01 -4.505755245180541380e+01 0.000000000000000000e+00
-2.732501073943292891e+00 1.524504071633482560e+00 -4.505052585808508780e+01 0.000000000000000000e+00
-3.056628236329399950e+00 6.705631360094219673e-01 -4.504952313829611654e+01 0.000000000000000000e+00
-2.800445150813838158e+00 1.166220835045051363e+00 -4.502541026131037682e+01 0.000000000000000000e+00
-3.008974236636199784e+00 6.923026745728041442e-01 -4.502411654573649713e+01 0.000000000000000000e+00
-2.812054924473646800e+00 1.562224043915470872e+00 -4.501875087158024513e+01 0.000000000000000000e+00
-2.945585983826243037e+00 1.199187513263209270e+00 -4.500701050282955151e+01 0.000000000000000000e+00
-2.960521398111669367e+00 1.152538754635951124e+00 -4.500285494477702031e+01 0.000000000000000000e+00
-2.808180773918928175e+00 1.568471135202134770e+00 -4.497919136951121999e+01 0.000000000000000000e+00
-2.854283289538487534e+00 9.948269571331105343e-01 -4.497546499777579498e+01 0.000000000000000000e+00
-3.065743089728449888e+00 7.112587565695769332e-01 -4.497420743194637538e+01 0.000000000000000000e+00
-2.753727712836772756e+00 1.379863989915365075e+00 -4.495425022890845668e+01 0.000000000000000000e+00
-2.831333408722325196e+00 1.063937345824946146e+00 -4.495223208563624695e+01 0.000000000000000000e+00
-3.049635733493021306e+00 6.733346709559551169e-01 -4.495154637290234945e+01 0.000000000000000000e+00
-3.023065112360943107e+00 9.390727828623099960e-01 -4.494084209929265938e+01 0.000000000000000000e+00
-2.807706219065543074e+00 1.567392720467848832e+00 -4.494082813790063113e+01 0.000000000000000000e+00
-3.003805608154594964e+00 1.007298882627739367e+00 -4.492853963976606479e+01 0.000000000000000000e+00
-3.018983410831238778e+00 9.532934374520268817e-01 -4.492441812334718776e+01 0.000000000000000000e+00
-2.775001359216886065e+00 1.276757887145113068e+00 -4.489661990493944899e+01 0.000000000000000000e+00
-2.741938034137191504e+00 1.465023044234943228e+00 -4.488723458328984606e+01 0.000000000000000000e+00
-2.747269872463649953e+00 1.426470031485878032e+00 -4.488429390069018865e+01 0.000000000000000000e+00
-2.840154832484730552e+00 1.489455429087537919e+00 -4.487356938486099267e+01 0.000000000000000000e+00
-2.753537375883976956e+00 1.388840628507298725e+00 -4.486599737274637079e+01 0.000000000000000000e+00
-2.860371512900425017e+00 1.437645106004595830e+00 -4.486517061140782658e+01 0.000000000000000000e+00
-2.930361225115921897e+00 1.239871852326724699e+00 -4.486496542254261755e+01 0.000000000000000000e+00
-2.754330934687353682e+00 1.384328171234912030e+00 -4.486418965735668252e+01 0.000000000000000000e+00
-3.052020728725919785e+00 8.125592426695331660e-01 -4.485889634132217196e+01 0.000000000000000000e+00
-2.896135045713102762e+00 1.338971944582002527e+00 -4.484334296758458294e+01 0.000000000000000000e+00
-3.061611335167349068e+00 7.097842051825320464e-01 -4.483568457259024598e+01 0.000000000000000000e+00
-2.742130754063753617e+00 1.624664366436203711e+00 -4.483443538589531130e+01 0.000000000000000000e+00
-2.796427690803378052e+00 1.583759881583598927e+00 -4.483364540883058424e+01 0.000000000000000000e+00
-2.863993829667608626e+00 1.426524056077814961e+00 -4.482946401752086985e+01 0.000000000000000000e+00
-2.922579698438712903e+00 8.354166366143647160e-01 -4.481633415260719033e+01 0.000000000000000000e+00
