# CurlyM omega_L omega_m logL logPrior
-3.115404402047393884e+00 -7.918246398709936074e-01 8.228890119645084766e-01 -4.437918282130947745e+01 0.000000000000000000e+00
-2.814238430639290467e+00 -8.680312974426043215e-01 8.733326807372291389e-01 -4.436779799482408038e+01 0.000000000000000000e+00
-2.988324254179246076e+00 -1.879915425874592039e-01 1.825462046647771674e-01 -4.434908452403447399e+01 0.000000000000000000e+00
-2.284418207541837553e+00 -5.422810476823373138e-01 4.803557671085939007e-01 -4.434795293274013517e+01 0.000000000000000000e+00
-2.880992631373519242e+00 -8.828485650561265219e-01 8.938006116854690930e-01 -4.434651179192571391e+01 0.000000000000000000e+00
-2.167040326891808810e+00 -1.988129765917596992e-01 1.226471862496363585e-01 -4.433749485022355685e+01 0.000000000000000000e+00
-2.355366460349222368e+00 -2.095067935472078591e-01 1.335359606302302937e-01 -4.433596296670892656e+01 0.000000000000000000e+00
-2.739171901587109215e+00 -1.727132247834948786e-01 1.556538391739003546e-01 -4.429618289275769172e+01 0.000000000000000000e+00
-3.067730985101649654e+00 -2.186901324528949253e-01 2.321549319681287527e-01 -4.428834841635808317e+01 0.000000000000000000e+00
-3.004597224657285182e+00 -2.007431546930904531e-02 1.773712111306793848e-02 -4.427833285360963345e+01 0.000000000000000000e+00
-2.036303771248941796e+00 -3.759795631194950416e-01 2.807444535221381710e-01 -4.426537756140030666e+01 0.000000000000000000e+00
-2.372542001327489380e+00 -5.889621131407501986e-01 5.376508488037905487e-01 -4.426060194049232877e+01 0.000000000000000000e+00
-3.170274361645534000e+00 -4.382046575574549685e-01 4.663385719953005992e-01 -4.424171480695606107e+01 0.000000000000000000e+00
-2.227848260588854323e+00 -3.940601108982679790e-01 3.282578427606323013e-01 -4.423716058651728389e+01 0.000000000000000000e+00
-2.770698634674894745e+00 -2.858930469622174009e-01 2.758672722635171493e-01 -4.423684444486941203e+01 0.000000000000000000e+00
-2.055321019507432290e+00 -2.389205356816515857e-01 1.341733827331602347e-01 -4.423652341458933535e+01 0.000000000000000000e+00
-2.433761882508374441e+00 -6.203503505950958008e-01 5.764024346440812518e-01 -4.419568198854575058e+01 0.000000000000000000e+00
-1.800263127596565704e+00 -2.421083362794603511e-01 1.177034485318684265e-01 -4.419377843672770467e+01 0.000000000000000000e+00
-2.413300554072541182e+00 -4.646900032189494323e-01 4.085320133145614041e-01 -4.419186223996927509e+01 0.000000000000000000e+00
-2.588307541008376234e+00 -6.527214902773046390e-01 6.317207396940763831e-01 -4.418835874337451486e+01 0.000000000000000000e+00
-2.356241601610945313e+00 -2.821402654773160767e-01 2.103359437513954433e-01 -4.418691053979063810e+01 0.000000000000000000e+00
-2.718490359588599414e+00 -4.587946440741583753e-01 4.336038941095083921e-01 -4.414808613368223433e+01 0.000000000000000000e+00
-3.169205131944928144e+00 -5.219480407435526104e-01 5.536521410660257825e-01 -4.414355532106149127e+01 0.000000000000000000e+00
-2.285705996143387431e+00 -3.428751959515364267e-01 2.830028772982452479e-01 -4.414270205657323487e+01 0.000000000000000000e+00
