2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': -4.13350804653817, 'omega_L': 0.9404518079347055, 'omega_m': 1.173716988900303}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': 1.0928313144599526, 'omega_L': 1.2860077831733094, 'omega_m': 0.987934172913634}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': -4.73366917767816, 'omega_L': 1.127693735622377, 'omega_m': 0.16165796323908432}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': 2.6175632785238188, 'omega_L': 1.2249082178550128, 'omega_m': 1.4903510442947605}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': 1.549628081631404, 'omega_L': 0.3628054154492997, 'omega_m': 0.6768810824461475}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': -4.533926286657214, 'omega_L': 0.7666292478742509, 'omega_m': 1.1588644632180765}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': 2.1244575034308584, 'omega_L': 1.4331619777966722, 'omega_m': 0.8901169943534546}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': -4.432163633454729, 'omega_L': 1.0526368873408103, 'omega_m': 1.182481851009464}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': -2.071404018236233, 'omega_L': -0.19226326758437629, 'omega_m': 1.307134882573047}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': -4.478078735192735, 'omega_L': 0.8799639093014207, 'omega_m': 1.3211177180635012}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': -3.2749274960928334, 'omega_L': 0.8373629714054909, 'omega_m': 0.5484286310507784}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': 2.3296929328021614, 'omega_L': 1.4881707671520656, 'omega_m': 0.23072206969632203}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
