# CurlyM omega_L omega_m logL logPrior
-3.087398218258946336e+00 1.301343391929377091e-01 3.179521702035960073e-01 -4.598689696262193394e+01 0.000000000000000000e+00
-2.813113813082136261e+00 -3.507259836390681507e-01 1.925946629377830233e+00 -4.596368797578451648e+01 0.000000000000000000e+00
-2.819965154297401799e+00 -4.209595337665555381e-01 1.796660792213841562e+00 -4.592278430171307235e+01 0.000000000000000000e+00
-2.941816562212853814e+00 1.328869026552537136e-01 6.224292468809379253e-01 -4.591262370393416603e+01 0.000000000000000000e+00
-2.839097343205912338e+00 4.105282360047617929e-01 1.639681701502837985e+00 -4.585634945377774585e+01 0.000000000000000000e+00
-2.841518164864585749e+00 -1.565373973727841872e-02 9.802994088631791225e-01 -4.585534010204650457e+01 0.000000000000000000e+00
-2.825889992985925581e+00 4.343793548317389508e-01 1.783610484941696050e+00 -4.584680730130411774e+01 0.000000000000000000e+00
-2.727012236022476888e+00 -1.042908141293412028e+00 1.392390041459858008e+00 -4.582581578678868794e+01 0.000000000000000000e+00
-2.747997216452667590e+00 -7.270113579605553822e-01 7.404413851375674094e-01 -4.575989772219654839e+01 0.000000000000000000e+00
-2.821281877943872196e+00 -4.002062715526216174e-01 1.797949067666427370e+00 -4.575186521589835564e+01 0.000000000000000000e+00
-2.727477308974351367e+00 -2.927222205788790887e-01 1.827491479342993275e+00 -4.574363708680554197e+01 0.000000000000000000e+00
-2.697278221844379598e+00 -1.533546955432976144e+00 1.168343306489407762e-01 -4.571859234035097330e+01 0.000000000000000000e+00
-2.771789363852792842e+00 -3.405693636175654015e-01 1.096637704298502713e+00 -4.571423619572953356e+01 0.000000000000000000e+00
-3.065259679542620130e+00 5.087434872913840778e-01 1.208574442123101056e+00 -4.566266399207272997e+01 0.000000000000000000e+00
-3.036243055145253944e+00 6.420392694923036103e-01 1.053166130334252992e+00 -4.563292261245846504e+01 0.000000000000000000e+00
-2.866622792659075714e+00 -5.792614952022059338e-01 1.290110341726053322e+00 -4.562328818194745139e+01 0.000000000000000000e+00
-3.067516270088212593e+00 8.547013263190368360e-01 1.595986517678531946e+00 -4.560994155574160658e+01 0.000000000000000000e+00
-2.875338385413621189e+00 -1.707409882875559060e-01 5.504618934363992855e-01 -4.560133533380861337e+01 0.000000000000000000e+00
-2.812652272201711323e+00 -6.306887908456839664e-01 3.033994986185309939e-01 -4.556692512046635812e+01 0.000000000000000000e+00
-2.768015747573053797e+00 -1.712296490440592844e+00 4.050011289705770512e-01 -4.555715498643197492e+01 0.000000000000000000e+00
-3.064136741355400151e+00 7.739253631675964140e-01 1.246735619463317901e+00 -4.554061727363853862e+01 0.000000000000000000e+00
-2.795541159428551303e+00 -4.597048638323322223e-01 1.828372041805201853e+00 -4.553853603195252475e+01 0.000000000000000000e+00
-2.691787728728383122e+00 -1.572483053133340469e+00 7.172575133491940758e-01 -4.553727616235291720e+01 0.000000000000000000e+00
-2.806578587465047292e+00 3.687203797998422350e-01 1.890522629704340263e+00 -4.553365038453801361e+01 0.000000000000000000e+00
-2.819844382912253700e+00 -4.251620066978347712e-01 1.750329587853071356e+00 -4.552647985326824909e+01 0.000000000000000000e+00
-2.826011996277999483e+00 -9.536917451828560433e-01 1.044481479692209280e+00 -4.548690296992597126e+01 0.000000000000000000e+00
-2.786283870758598180e+00 1.889135046955345287e-01 1.819879718396281598e+00 -4.548300509220337773e+01 0.000000000000000000e+00
-3.067549297383030726e+00 9.794663086571264721e-01 1.670635000414188553e+00 -4.548030437326540465e+01 0.000000000000000000e+00
-2.829598476980809352e+00 -5.140014545513362787e-01 3.575412438878536880e-01 -4.547221198559109467e+01 0.000000000000000000e+00
-2.871284283535070703e+00 -2.824498872711874720e-01 4.220677120682964079e-01 -4.546693508992400012e+01 0.000000000000000000e+00
-2.948450203343758069e+00 2.766897485207400198e-01 8.283214613393836689e-01 -4.546396080110599058e+01 0.000000000000000000e+00
-2.705202861548589244e+00 -1.132810227360716127e+00 1.162491863269269121e+00 -4.545066000070628576e+01 0.000000000000000000e+00
-3.042471197346952039e+00 2.897206984408648989e-01 5.650302529923472150e-01 -4.543243220362618473e+01 0.000000000000000000e+00
-3.062294594454917807e+00 3.816769658002765464e-01 1.042291121918855756e+00 -4.543057523728456459e+01 0.000000000000000000e+00
-2.755579503810383635e+00 -5.857526873562606262e-01 9.250970011051855568e-01 -4.541571591114206541e+01 0.000000000000000000e+00
-2.734729451634660524e+00 -1.786697791409299851e+00 4.369221942526978486e-01 -4.541496391084140072e+01 0.000000000000000000e+00
-2.897033478621103164e+00 -2.234829652182835913e-01 1.533944252690116361e+00 -4.541389195274174284e+01 0.000000000000000000e+00
-2.716092116205186091e+00 -1.093908795860762728e+00 6.351471928978233983e-01 -4.538360432534911837e+01 0.000000000000000000e+00
-2.966042504454357687e+00 -1.861862448460303021e-01 1.101859007131117840e+00 -4.537937222288878303e+01 0.000000000000000000e+00
-2.895703334586142041e+00 -1.900957426709349030e-01 1.582120272666891481e+00 -4.537580460518505987e+01 0.000000000000000000e+00
-3.065116754829007917e+00 8.447879350942294474e-01 1.420622498727733163e+00 -4.534172981054519624e+01 0.000000000000000000e+00
-2.777346990808448712e+00 8.898359330770516662e-02 1.783229096345632314e+00 -4.533502599495290752e+01 0.000000000000000000e+00
-2.705757577684039905e+00 -1.065686854369101377e+00 1.134295324576563457e+00 -4.532341307301124544e+01 0.000000000000000000e+00
-2.976672072894475551e+00 5.522064090834946093e-01 1.119883404475488620e+00 -4.532262238526065090e+01 0.000000000000000000e+00
-2.719362050864206903e+00 -7.138176935518253385e-01 1.538757441959488048e+00 -4.531834361861069027e+01 0.000000000000000000e+00
-3.053173481731472627e+00 1.098624134436964717e+00 1.766068504767362546e+00 -4.530861406652238799e+01 0.000000000000000000e+00
-2.713680814406437936e+00 -8.320184456741391843e-01 1.317486892770105777e+00 -4.530655382499005412e+01 0.000000000000000000e+00
-3.054477809216829876e+00 2.026938916192779286e-02 6.395892017656832351e-01 -4.526644988080690979e+01 0.000000000000000000e+00
-2.891163348464289573e+00 5.440082805340201721e-01 1.535772565389265543e+00 -4.523098364627062296e+01 0.000000000000000000e+00
-3.041952570606418771e+00 -1.812504261036111952e-01 4.921615481941425951e-01 -4.521844139510303506e+01 0.000000000000000000e+00
-2.947110592768481308e+00 -6.118713998440716839e-03 4.482085850026970020e-01 -4.521019164315614347e+01 0.000000000000000000e+00
-2.692045912805442587e+00 -1.518944253508344611e+00 5.118250517971637548e-01 -4.517327726385564546e+01 0.000000000000000000e+00
-2.740811049078760941e+00 -2.581532257041705969e-01 1.822026999421362037e+00 -4.517195136578470027e+01 0.000000000000000000e+00
-3.006513312202885313e+00 -6.555225137956821602e-01 1.647281238329089126e-01 -4.516467008187567700e+01 0.000000000000000000e+00
-2.742617567958363978e+00 -7.547870395721717474e-01 8.533797570395049714e-01 -4.516304109977475179e+01 0.000000000000000000e+00
-3.007242191067806658e+00 7.661846463154748932e-01 1.342639505896220165e+00 -4.516152867213958899e+01 0.000000000000000000e+00
-2.888614024738088037e+00 -1.335277121503539721e+00 1.281966080768726091e-01 -4.513636508394568381e+01 0.000000000000000000e+00
-2.789243939778137893e+00 -9.368255016975517435e-01 1.219985784808234719e+00 -4.512432071000703360e+01 0.000000000000000000e+00
-2.830627748760360163e+00 -2.237899349477223687e-01 8.134053243408931877e-01 -4.510012723708417326e+01 0.000000000000000000e+00
-2.828655925915210201e+00 -8.457771917998435640e-01 1.127079030283789862e+00 -4.508830454981565339e+01 0.000000000000000000e+00
-2.697832589568343931e+00 -1.530943626081724629e+00 2.903676012731814526e-01 -4.507213978719395442e+01 0.000000000000000000e+00
-2.959760908381110500e+00 7.522970348189503831e-01 1.502105083901470017e+00 -4.504136022612737378e+01 0.000000000000000000e+00
-2.823377225771455112e+00 -1.163604993071317484e+00 7.493828418034949035e-01 -4.503686430484302861e+01 0.000000000000000000e+00
-2.802930067148288629e+00 1.779736940899284414e-01 1.688538175056810253e+00 -4.502792919790001491e+01 0.000000000000000000e+00
-3.037407349947818691e+00 2.143650998253496254e-01 1.017272658802382157e+00 -4.500559087993661223e+01 0.000000000000000000e+00
-2.744551467209117579e+00 -1.888631421453874637e+00 2.245663054241973100e-01 -4.499613323602502390e+01 0.000000000000000000e+00
-2.940218915823229917e+00 -8.121121121013000765e-01 4.406031123795963733e-01 -4.499268921049618797e+01 0.000000000000000000e+00
-2.854679223047583037e+00 -1.008580950713063418e+00 7.560036096202187306e-01 -4.498341658923896347e+01 0.000000000000000000e+00
-2.990025713072628655e+00 -9.812252153435560564e-02 1.778124469976283262e-01 -4.498196727882170620e+01 0.000000000000000000e+00
-2.692165455974423693e+00 -1.746073362159666686e+00 4.001278620418044496e-02 -4.497538974766936093e+01 0.000000000000000000e+00
-2.711678187417082331e+00 -1.456110579648527192e+00 1.683923501498516273e-01 -4.496938421767307403e+01 0.000000000000000000e+00
-2.989932097718016379e+00 4.856922189090446262e-01 1.007079608987990982e+00 -4.496591304877693318e+01 0.000000000000000000e+00
